ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): CALIFORNIA

Agency Name,State Name [District] Latest available year,State Name [District] 2020-21,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
NEVADA CITY ELEMENTARY,California,CALIFORNIA,="0626820",Nevada County,696,34.29,20.30
NEVADA CITY SCHOOL OF THE ARTS DISTRICT,CALIFORNIA,CALIFORNIA,="0602424",Nevada County,428,21.55,19.86
NEVADA CO CHARTER SERVICES AUTHORITY (JPA),California,CALIFORNIA,="0601417",Nevada County,†,†,†
NEVADA COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691023",Nevada County,1388,76.08,18.24
NEVADA COUNTY PUPIL TRANSPORTATION,California,CALIFORNIA,="0601379",Nevada County,†,†,†
NEVADA JOINT UNION HIGH,California,CALIFORNIA,="0626880",Nevada County,2492,127.15,19.60
NEW DAY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601634",Modoc County,108,5.00,21.60
NEW DESIGNS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601548",Los Angeles County,871,30.00,29.03
NEW DESIGNS CHARTER SCHOOL-WATTS DISTRICT,CALIFORNIA,CALIFORNIA,="0601543",Los Angeles County,346,13.01,26.59
NEW HAVEN UNIFIED,California,CALIFORNIA,="0626910",Alameda County,10812,435.42,24.83
NEW HEIGHTS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601477",Los Angeles County,409,19.00,21.53
NEW HOPE ELEMENTARY,California,CALIFORNIA,="0626970",San Joaquin County,177,10.00,17.70
NEW HORIZONS CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602397",Los Angeles County,299,11.00,27.18
NEW JERUSALEM ELEMENTARY,California,CALIFORNIA,="0627030",San Joaquin County,2000,93.04,21.50
NEW LOS ANGELES CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601866",Los Angeles County,321,13.50,23.78
NEW LOS ANGELES CHARTER ELEMENTARY DISTRICT,CALIFORNIA,CALIFORNIA,="0602475",Los Angeles County,222,9.00,24.67
NEW MILLENNIUM SECONDARY DISTRICT,CALIFORNIA,CALIFORNIA,="0602297",Los Angeles County,187,10.00,18.70
NEW OPPORTUNITIES CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602195",Los Angeles County,210,7.00,30.00
NEW VILLAGE GIRLS ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601571",Los Angeles County,102,8.00,12.75
NEW VISION MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601709",San Bernardino County,437,12.00,36.42
NEW WEST CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601844",Los Angeles County,1043,42.70,24.43
NEWARK UNIFIED,California,CALIFORNIA,="0627060",Alameda County,5507,233.27,23.61
NEWCASTLE ELEMENTARY,California,CALIFORNIA,="0627120",Placer County,398,21.40,18.60
NEWHALL,California,CALIFORNIA,="0627180",Los Angeles County,5920,242.09,24.45
NEWMAN-CROWS LANDING UNIFIED,California,CALIFORNIA,="0627200",Stanislaus County,3213,147.66,21.76
NEWPORT-MESA UNIFIED,California,CALIFORNIA,="0627240",Orange County,18559,855.71,21.69
NEXTGENERATION STEAM ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602001",San Joaquin County,637,27.00,23.59
NICASIO,California,CALIFORNIA,="0627300",Marin County,34,3.00,11.33
NORD COUNTRY DISTRICT,CALIFORNIA,CALIFORNIA,="0602014",Butte County,184,10.00,18.40
NORRIS ELEMENTARY,California,CALIFORNIA,="0627450",Kern County,3916,165.59,23.65
NORTH COUNTY JOINT UNION ELEMENTARY,California,CALIFORNIA,="0627480",San Benito County,728,33.00,22.06
NORTH COUNTY REGIONAL OCCUPATIONAL CENTER/PROGRAM (ROC/P),California,CALIFORNIA,="0601343",Santa Clara County,="0",–,–
NORTH COUNTY TRADE TECH HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602203",San Diego County,178,12.00,14.83
NORTH COW CREEK ELEMENTARY,California,CALIFORNIA,="0627510",Shasta County,244,12.50,19.52
NORTH MONTEREY COUNTY UNIFIED,California,CALIFORNIA,="0627590",Monterey County,4583,203.69,22.50
NORTH OAKLAND COMMUNITY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601747",Alameda County,159,8.00,19.88
NORTH ORANGE COUNTY ROP JPA,California,CALIFORNIA,="0601364",Orange County,†,†,†
NORTH ORANGE COUNTY ROP-ADULT,California,CALIFORNIA,="0600121",Orange County,="0",–,–
NORTH SANTA CRUZ COUNTY SELPA,California,CALIFORNIA,="0601358",Santa Cruz County,†,†,†
NORTH VALLEY MILITARY INST COLLEGE ACAD DISTRICT,CALIFORNIA,CALIFORNIA,="0601564",Los Angeles County,732,34.61,21.15
NORTHCOAST PREPARATORY AND PERFORMING ARTS ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601942",Humboldt County,178,10.45,17.03
NORTHERN HUMBOLDT UNION HIGH,California,CALIFORNIA,="0603030",Humboldt County,1661,82.58,20.11
NORTHERN SUMMIT ACADEMY SHASTA DISTRICT,CALIFORNIA,CALIFORNIA,="0602338",Shasta County,215,10.89,19.74
NORTHERN UNITED - HUMBOLDT CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601909",Humboldt County,419,25.28,16.57
NORTHERN UNITED - SISKIYOU CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601606",Siskiyou County,164,11.85,13.84
NORTHWEST PREP CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602006",Sonoma County,101,6.00,16.83
NORTON SCIENCE AND LANGUAGE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601558",San Bernardino County,825,35.00,23.57
NORWALK-LA MIRADA UNIFIED,California,CALIFORNIA,="0627690",Los Angeles County,16209,693.57,23.37
NOVA ACADEMY - COACHELLA DISTRICT,CALIFORNIA,CALIFORNIA,="0602040",Riverside County,240,11.50,20.87
NOVA ACADEMY EARLY COLLEGE HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601565",Orange County,370,17.00,21.76
NOVATO CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601936",Marin County,270,10.00,27.00
NOVATO UNIFIED,California,CALIFORNIA,="0627720",Marin County,7206,336.98,21.38
NUESTRO ELEMENTARY,California,CALIFORNIA,="0627750",Sutter County,186,8.50,21.88
NUVIEW UNION,California,CALIFORNIA,="0627780",Riverside County,2157,90.50,23.83
OAK GROVE ELEMENTARY,California,CALIFORNIA,="0627810",Santa Clara County,9362,395.32,23.68
OAK GROVE UNION ELEMENTARY,California,CALIFORNIA,="0627840",Sonoma County,840,36.74,22.86
OAK PARK UNIFIED,California,CALIFORNIA,="0627850",Ventura County,4355,185.83,23.44
OAK RUN ELEMENTARY,California,CALIFORNIA,="0627870",Shasta County,53,3.00,17.67
OAK VALLEY UNION ELEMENTARY,California,CALIFORNIA,="0627900",Tulare County,576,30.00,19.20
OAK VIEW UNION ELEMENTARY,California,CALIFORNIA,="0627930",San Joaquin County,363,16.00,22.69
OAKDALE JOINT UNIFIED,California,CALIFORNIA,="0600062",Stanislaus County,5282,224.33,23.55
OAKLAND CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602208",Alameda County,248,10.00,24.80
OAKLAND CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601465",Alameda County,459,25.00,18.36
OAKLAND MILITARY INSTITUTECOLLEGE PREPARATORY ACAD DISTRICT,CALIFORNIA,CALIFORNIA,="0601971",Alameda County,627,32.00,19.59
OAKLAND SCHOOL FOR THE ARTS DISTRICT,CALIFORNIA,CALIFORNIA,="0602458",Alameda County,801,35.72,22.42
OAKLAND UNIFIED,California,CALIFORNIA,="0628050",Alameda County,35489,1840.04,19.29
OAKLAND UNITY HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602292",Alameda County,372,16.00,23.25
OAKLAND UNITY MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0602346",Alameda County,145,5.60,25.89
OAKLEY UNION ELEMENTARY,California,CALIFORNIA,="0628080",Contra Costa County,4939,217.07,22.75
OASIS CHARTER PUBLIC DISTRICT,CALIFORNIA,CALIFORNIA,="0601603",Monterey County,207,13.00,15.92
OCASA COLLEGE PREP DISTRICT,CALIFORNIA,CALIFORNIA,="0602539",Orange County,117,10.01,11.69
OCEAN CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602226",Los Angeles County,571,22.00,25.95
OCEAN GROVE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601472",Santa Cruz County,3265,139.84,23.35
OCEAN VIEW,California,CALIFORNIA,="0628170",Ventura County,2288,103.00,22.21
OCEAN VIEW,California,CALIFORNIA,="0628140",Orange County,7337,304.69,24.08
OCEANSIDE UNIFIED,California,CALIFORNIA,="0628250",San Diego County,16373,708.09,23.12
OCS - SOUTH DISTRICT,CALIFORNIA,CALIFORNIA,="0602399",Los Angeles County,267,12.00,22.25
OCSA DISTRICT,CALIFORNIA,CALIFORNIA,="0602284",Orange County,2277,123.75,18.40
ODYSSEY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601915",Los Angeles County,471,18.00,26.17
OJAI UNIFIED,California,CALIFORNIA,="0628270",Ventura County,2329,95.70,24.34
OLD ADOBE UNION,California,CALIFORNIA,="0628320",Sonoma County,1902,80.00,23.78
OLD TOWN ACADEMY K-8 CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602002",San Diego County,249,8.00,31.13
OLIVE GROVE CHARTER - BUELLTON DISTRICT,CALIFORNIA,CALIFORNIA,="0601501",Santa Barbara County,48,5.41,8.87
OLIVE GROVE CHARTER - LOMPOC DISTRICT,CALIFORNIA,CALIFORNIA,="0602132",Santa Barbara County,133,6.72,19.79
OLIVE GROVE CHARTER - ORCUTT/SANTA MARIA DISTRICT,CALIFORNIA,CALIFORNIA,="0602042",Santa Barbara County,240,10.28,23.35
OLIVE GROVE CHARTER - SANTA BARBARA DISTRICT,CALIFORNIA,CALIFORNIA,="0602480",Santa Barbara County,159,7.40,21.49
OLIVET ELEMENTARY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601924",Sonoma County,316,14.00,22.57
ONE.CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602340",San Joaquin County,689,39.70,17.36
ONTARIO-MONTCLAIR,California,CALIFORNIA,="0628470",San Bernardino County,19286,861.61,22.38
OPEN DOOR CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602528",Monterey County,27,1.62,16.67
OPPORTUNITIES FOR LEARNING - BALDWIN PARK DISTRICT,CALIFORNIA,CALIFORNIA,="0601733",Los Angeles County,3161,97.88,32.29
OPPORTUNITIES FOR LEARNING - CAPISTRANO DISTRICT,CALIFORNIA,CALIFORNIA,="0602311",Orange County,139,5.60,24.82
OPPORTUNITIES FOR LEARNING - DUARTE DISTRICT,CALIFORNIA,CALIFORNIA,="0601825",Los Angeles County,123,2.79,44.09
OPPORTUNITIES FOR LEARNING - SANTA CLARITA DISTRICT,CALIFORNIA,CALIFORNIA,="0601579",Los Angeles County,591,20.94,28.22
OPTIONS FOR YOUTH - DUARTE INC DISTRICT,CALIFORNIA,CALIFORNIA,="0602502",Los Angeles County,877,22.17,39.56
OPTIONS FOR YOUTH SAN GABRIEL DISTRICT,CALIFORNIA,CALIFORNIA,="0602398",Los Angeles County,560,21.95,25.51
OPTIONS FOR YOUTH-ACTON DISTRICT,CALIFORNIA,CALIFORNIA,="0601500",San Bernardino County,1776,37.13,47.83
OPTIONS FOR YOUTH-SAN BERNARDINO DISTRICT,CALIFORNIA,CALIFORNIA,="0601870",San Bernardino County,951,19.59,48.55
OPTIONS FOR YOUTH-SAN JUAN DISTRICT,CALIFORNIA,CALIFORNIA,="0601794",Sacramento County,841,28.00,30.04
OPTIONS FOR YOUTH-VICTORVILLE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602359",San Bernardino County,847,19.79,42.80
ORANGE CENTER,California,CALIFORNIA,="0628530",Fresno County,295,16.00,18.44
ORANGE COUNTY ACADEMY OF SCIENCES AND ARTS DISTRICT,CALIFORNIA,CALIFORNIA,="0602243",Orange County,281,10.00,28.10
ORANGE COUNTY CLASSICAL ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602535",Orange County,360,13.00,27.69
ORANGE COUNTY DEPARTMENT OF EDUCATION,California,CALIFORNIA,="0691024",Orange County,2773,174.55,15.89
ORANGE COUNTY EDUCATIONAL ARTS ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602245",Orange County,625,27.31,22.89
ORANGE COUNTY WORKFORCE INNOVATION HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601611",Orange County,250,9.00,27.78
ORANGE UNIFIED,California,CALIFORNIA,="0628650",Orange County,25420,1025.26,24.79
ORCHARD ELEMENTARY,California,CALIFORNIA,="0628680",Santa Clara County,815,43.00,18.95
ORCUTT UNION ELEMENTARY,California,CALIFORNIA,="0628710",Santa Barbara County,4842,194.65,24.88
ORICK ELEMENTARY,California,CALIFORNIA,="0628830",Humboldt County,21,1.83,11.48
ORINDA UNION ELEMENTARY,California,CALIFORNIA,="0628860",Contra Costa County,2478,122.62,20.21
ORLAND JOINT UNIFIED,California,CALIFORNIA,="0600045",Glenn County,2244,105.35,21.30
ORO GRANDE,California,CALIFORNIA,="0628950",San Bernardino County,2329,134.11,17.37
OROVILLE CITY ELEMENTARY,California,CALIFORNIA,="0629100",Butte County,2155,108.17,19.92
OROVILLE UNION HIGH,California,CALIFORNIA,="0629130",Butte County,2334,112.51,20.74
OSCAR DE LA HOYA ANIMO CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602235",Los Angeles County,613,29.11,21.06
OUR COMMUNITY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601917",Los Angeles County,429,18.00,23.83
OUTSIDE CREEK ELEMENTARY,California,CALIFORNIA,="0629160",Tulare County,119,4.80,24.79
OWENS VALLEY UNIFIED,California,CALIFORNIA,="0629190",Inyo County,63,8.25,7.64
OXFORD DAY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602016",San Mateo County,103,5.96,17.28
OXFORD PREPARATORY ACADEMY - SADDLEBACK VALLEY DISTRICT,CALIFORNIA,CALIFORNIA,="0601672",Orange County,678,26.49,25.59
OXFORD PREPARATORY ACADEMY - SOUTH ORANGE COUNTY DISTRICT,CALIFORNIA,CALIFORNIA,="0601962",Orange County,827,34.49,23.98
OXNARD,California,CALIFORNIA,="0629220",Ventura County,15132,690.50,21.91
OXNARD UNION HIGH,California,CALIFORNIA,="0629270",Ventura County,17327,689.86,25.12
PACHECO UNION ELEMENTARY,California,CALIFORNIA,="0629280",Shasta County,634,35.00,18.11
PACIFIC COAST ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601961",San Diego County,4264,147.97,28.82
PACIFIC COLLEGIATE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602542",Santa Cruz County,552,32.55,16.96
PACIFIC COMMUNITY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601467",Mendocino County,66,5.20,12.69
PACIFIC ELEMENTARY,California,CALIFORNIA,="0629340",Santa Cruz County,141,6.60,21.36
PACIFIC GROVE UNIFIED,California,CALIFORNIA,="0629370",Monterey County,1899,108.61,17.48
PACIFIC SPRINGS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602035",San Diego County,517,15.39,33.59
PACIFIC UNION ELEMENTARY,California,CALIFORNIA,="0629430",Humboldt County,589,26.50,22.23
PACIFIC UNION ELEMENTARY,California,CALIFORNIA,="0629400",Fresno County,354,19.00,18.63
PACIFIC VIEW CHARTER 2.0 DISTRICT,CALIFORNIA,CALIFORNIA,="0601632",Humboldt County,176,9.90,17.78
PACIFIC VIEW CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601537",San Diego County,630,29.06,21.68
PACIFICA,California,CALIFORNIA,="0620460",San Mateo County,3006,136.10,22.09
PACOIMA CHARTER ELEMENTARY DISTRICT,CALIFORNIA,CALIFORNIA,="0601959",Los Angeles County,1092,46.00,23.74
PAJARO VALLEY UNIFIED,California,CALIFORNIA,="0629490",Santa Cruz County,18743,862.60,21.73
PALERMO UNION ELEMENTARY,California,CALIFORNIA,="0629540",Butte County,1278,59.75,21.39
PALISADES CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601488",Los Angeles County,3087,126.15,24.47
PALM LANE ELEMENTARY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601486",Orange County,298,15.00,19.87
PALM SPRINGS UNIFIED,California,CALIFORNIA,="0629550",Riverside County,21705,961.16,22.58
PALMDALE AEROSPACE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601945",Los Angeles County,2332,88.63,26.31
PALMDALE ELEMENTARY,California,CALIFORNIA,="0629580",Los Angeles County,17525,753.75,23.25
PALO ALTO UNIFIED,California,CALIFORNIA,="0629610",Santa Clara County,10754,641.19,16.77
PALO VERDE UNIFIED,California,CALIFORNIA,="0629640",Riverside County,2821,116.99,24.11
PALO VERDE UNION ELEMENTARY,California,CALIFORNIA,="0629670",Tulare County,523,26.00,20.12
PALOS VERDES PENINSULA UNIFIED,California,CALIFORNIA,="0629700",Los Angeles County,10503,458.60,22.90
PANAMA-BUENA VISTA UNION,California,CALIFORNIA,="0606390",Kern County,18262,761.91,23.97
PANOCHE ELEMENTARY,California,CALIFORNIA,="0629770",San Benito County,7,1.00,7.00
PARA LOS NI?OS - EVELYN THURMAN GRATTS PRIMARY DISTRICT,CALIFORNIA,CALIFORNIA,="0602189",Los Angeles County,293,14.00,20.93
PARA LOS NI?OS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602249",Los Angeles County,318,15.00,21.20
PARA LOS NI?OS MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0602351",Los Angeles County,311,14.00,22.21
PARADISE CHARTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0602304",Butte County,128,6.50,19.69
PARADISE ELEMENTARY,California,CALIFORNIA,="0629790",Stanislaus County,191,9.00,21.22
PARADISE RIDGE ELEMENTARY DISTRICT,CALIFORNIA,CALIFORNIA,="0602492",Butte County,†,†,†
PARADISE UNIFIED,California,CALIFORNIA,="0629820",Butte County,1533,90.34,16.97
PARAGON COLLEGIATE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602055",Yuba County,197,9.00,21.89
PARAMOUNT UNIFIED,California,CALIFORNIA,="0629850",Los Angeles County,13761,636.14,21.63
PARLIER UNIFIED,California,CALIFORNIA,="0629910",Fresno County,3416,146.40,23.33
PARTNERS IN NUTRITION COOPERATIVE,California,CALIFORNIA,="0601377",Los Angeles County,†,†,†
PASADENA ROSEBUD ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602007",Los Angeles County,182,9.00,20.22
PASADENA UNIFIED,California,CALIFORNIA,="0629940",Los Angeles County,15313,667.54,22.94
PASEO GRANDE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602188",Sacramento County,29,1.00,29.00
PASO ROBLES JOINT UNIFIED,California,CALIFORNIA,="0600048",San Luis Obispo County,6661,276.51,24.09
PATHWAYS ACADEMY CHARTER - ADULT EDUCATION DISTRICT,CALIFORNIA,CALIFORNIA,="0602491",San Diego County,21,1.50,14.00
PATHWAYS ACADEMY CHARTER ADULT EDUCATION DISTRICT,CALIFORNIA,CALIFORNIA,="0601643",San Diego County,38,1.50,25.33
PATHWAYS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602088",Sonoma County,417,20.97,19.89
PATHWAYS TO COLLEGE K8 DISTRICT,CALIFORNIA,CALIFORNIA,="0601475",San Bernardino County,359,20.00,17.95
PATTERSON JOINT UNIFIED,California,CALIFORNIA,="0630030",Stanislaus County,6012,287.07,20.94
PEABODY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601513",Santa Barbara County,715,28.81,24.82
PEAK PREP PLEASANT VALLEY DISTRICT,CALIFORNIA,CALIFORNIA,="0602494",Placer County,389,19.00,20.47
PEAK TO PEAK MOUNTAIN CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602337",Kern County,60,3.30,18.18
PENINSULA UNION,California,CALIFORNIA,="0630090",Humboldt County,33,3.00,11.00
PENN VALLEY UNION ELEMENTARY,CALIFORNIA,CALIFORNIA,="0601427",Nevada County,564,26.42,21.35
PERRIS ELEMENTARY,California,CALIFORNIA,="0630180",Riverside County,5442,233.40,23.32
PERRIS UNION HIGH,California,CALIFORNIA,="0630210",Riverside County,10910,437.94,24.91
PERSEVERANCE PREPARATORY DISTRICT,CALIFORNIA,CALIFORNIA,="0602163",Santa Clara County,48,4.00,12.00
PETALUMA CITY ELEMENTARY,California,CALIFORNIA,="0630230",Sonoma County,2144,103.81,20.65
PETALUMA CITY ELEMENTARY/JOINT UNION HIGH,California,CALIFORNIA,="0601328",Sonoma County,†,†,†
PETALUMA JOINT UNION HIGH,California,CALIFORNIA,="0630250",Sonoma County,5233,239.85,21.82
PHOENIX CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601927",Shasta County,356,14.30,24.90
PIEDMONT CITY UNIFIED,California,CALIFORNIA,="0630330",Alameda County,2464,144.13,17.10
PIERCE JOINT UNIFIED,California,CALIFORNIA,="0630360",Colusa County,1443,70.50,20.47
PINE RIDGE ELEMENTARY,California,CALIFORNIA,="0630390",Fresno County,90,8.00,11.25
PINER-OLIVET CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601602",Sonoma County,201,8.00,25.13
PINER-OLIVET UNION ELEMENTARY,California,CALIFORNIA,="0630450",Sonoma County,267,11.00,24.27
PIONEER UNION ELEMENTARY,California,CALIFORNIA,="0630520",Butte County,52,3.00,17.33
PIONEER UNION ELEMENTARY,California,CALIFORNIA,="0630480",El Dorado County,281,13.66,20.57
PIONEER UNION ELEMENTARY,California,CALIFORNIA,="0630510",Kings County,1540,62.00,24.84
PITTSBURG UNIFIED,California,CALIFORNIA,="0630600",Contra Costa County,11015,504.46,21.84
PIVOT CHARTER SCHOOL - NORTH BAY DISTRICT,CALIFORNIA,CALIFORNIA,="0602330",Sonoma County,453,24.67,18.36
PIVOT CHARTER SCHOOL - SAN DIEGO II DISTRICT,CALIFORNIA,CALIFORNIA,="0601689",San Diego County,127,9.00,14.11
PIVOT CHARTER SCHOOL NORTH VALLEY II DISTRICT,CALIFORNIA,CALIFORNIA,="0601549",Butte County,118,7.33,16.10
PIVOT CHARTER SCHOOL RIVERSIDE DISTRICT,CALIFORNIA,CALIFORNIA,="0602214",Riverside County,130,7.99,16.27
PIXLEY UNION ELEMENTARY,California,CALIFORNIA,="0630630",Tulare County,886,42.00,21.10
PLACENTIA-YORBA LINDA UNIFIED,California,CALIFORNIA,="0630660",Orange County,24296,994.26,24.44
PLACER ACADEMY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602156",Placer County,262,17.80,14.72
PLACER COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691025",Placer County,442,41.90,10.55
PLACER HILLS UNION ELEMENTARY,California,CALIFORNIA,="0630720",Placer County,718,33.06,21.72
PLACER UNION HIGH,California,CALIFORNIA,="0630750",Placer County,4071,165.72,24.57
PLACERVILLE UNION ELEMENTARY,California,CALIFORNIA,="0630780",El Dorado County,1216,58.39,20.83
PLAINSBURG UNION ELEMENTARY,California,CALIFORNIA,="0630810",Merced County,104,6.00,17.33
PLANADA ELEMENTARY,California,CALIFORNIA,="0630840",Merced County,838,40.88,20.50
PLAZA ELEMENTARY,California,CALIFORNIA,="0630870",Glenn County,182,9.00,20.22
PLEASANT GROVE JOINT UNION,California,CALIFORNIA,="0630900",Sutter County,159,9.00,17.67
PLEASANT RIDGE UNION ELEMENTARY,California,CALIFORNIA,="0630930",Nevada County,1243,55.25,22.50
PLEASANT VALLEY,California,CALIFORNIA,="0630990",Ventura County,5718,247.23,23.13
PLEASANT VALLEY JOINT UNION ELEMENTARY,California,CALIFORNIA,="0631020",San Luis Obispo County,58,4.00,14.50
PLEASANT VIEW ELEMENTARY,California,CALIFORNIA,="0631050",Tulare County,439,20.00,21.95
PLEASANTON UNIFIED,California,CALIFORNIA,="0600020",Alameda County,14469,622.13,23.26
PLUMAS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601773",Plumas County,374,17.92,20.87
PLUMAS COUNTY OFFICE OF EDUCATION,California,CALIFORNIA,="0691102",Plumas County,20,4.01,4.99
PLUMAS COUNTY ROP,California,CALIFORNIA,="0600083",Plumas County,="0",–,–
PLUMAS LAKE ELEMENTARY,California,CALIFORNIA,="0631180",Yuba County,1348,69.00,19.54
PLUMAS UNIFIED,California,CALIFORNIA,="0631170",Plumas County,1661,99.26,16.73
POINT ARENA JOINT UNION HIGH,California,CALIFORNIA,="0631230",Mendocino County,141,13.86,10.17
POLLOCK PINES ELEMENTARY,California,CALIFORNIA,="0631290",El Dorado County,584,31.00,18.84
POMONA UNIFIED,California,CALIFORNIA,="0631320",Los Angeles County,22388,1072.87,20.87
POND UNION ELEMENTARY,California,CALIFORNIA,="0631350",Kern County,164,8.00,20.50
POPE VALLEY UNION ELEMENTARY,California,CALIFORNIA,="0631380",Napa County,50,4.00,12.50
PORT OF LOS ANGELES HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601850",Los Angeles County,996,51.75,19.25
PORTERVILLE UNIFIED,California,CALIFORNIA,="0600064",Tulare County,14372,599.49,23.97
PORTOLA VALLEY ELEMENTARY,California,CALIFORNIA,="0631470",San Mateo County,491,38.02,12.91
POTTER VALLEY COMMUNITY UNIFIED,California,CALIFORNIA,="0631400",Mendocino County,271,14.54,18.64
POWAY UNIFIED,California,CALIFORNIA,="0631530",San Diego County,35663,1527.24,23.35
PREPA TEC - LOS ANGELES DISTRICT,CALIFORNIA,CALIFORNIA,="0602218",Los Angeles County,268,15.00,17.87
PREPA TEC LOS ANGELES HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602355",Los Angeles County,324,21.00,15.43
