,District Name,State Name [District] Latest available year_x,Total Staff [District] 2020-21,Paraprofessionals/Instructional Aides [District] 2020-21,Total Guidance Counselors [District] 2020-21,Instructional Coordinators [District] 2020-21,Librarians/media specialists [District] 2020-21,LEA Administrators [District] 2020-21,LEA Administrative Support Staff [District] 2020-21,School Administrators [District] 2020-21,Student Support Services Staff (w/o Psychology) [District] 2020-21,School Psychologist [District] 2020-21,Other Support Services Staff [District] 2020-21,Agency Name [District] 2020-21,Agency_ID,County Name [District] 2020-21_x,County Number [District] 2020-21,Total Number Operational Schools [Public School] 2020-21,State Name [District] 2020-21,"Total Students, All Grades (Excludes AE) [District] 2020-21",Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
1185,mariposa county office of education,California,19.38,9.06,0.72,0.5,0,0.81,0,0,0.6,1.09,0.6,Mariposa County Office of Education,691090.0,Mariposa County,6043.0,3.0,CALIFORNIA,40,6,6.67
1186,mariposa county unified,California,207.77,26.1,6.28,2.5,0,2.19,0,5.99,0.4,1.91,55.07,Mariposa County Unified,623940.0,Mariposa County,6043.0,11.0,CALIFORNIA,1604,83.96,19.1
1187,mark twain union elementary,California,73.29,12.44,1.5,0,0,1,0,2,0,0,15.73,Mark Twain Union Elementary,623970.0,Calaveras County,6009.0,2.0,CALIFORNIA,690,31.67,21.79
1188,mark west union elementary,California,142.06,18.5,2,0,0,2,0,4,1.6,1,35.89,Mark West Union Elementary,624000.0,Sonoma County,6097.0,4.0,CALIFORNIA,1298,66.92,19.4
1189,martinez unified,California,332.51,33.89,8,5,1,2,0,11,2,3.2,56.16,Martinez Unified,624030.0,Contra Costa County,6013.0,9.0,CALIFORNIA,3983,187.11,21.29
1190,marysville joint unified,California,979.53,101.28,21.9,1,1,4,0,27.75,6.01,10.1,246.79,Marysville Joint Unified,624090.0,Yuba County,6115.0,22.0,CALIFORNIA,9733,428.49,22.71
1191,math and science college preparatory district,CALIFORNIA,58.69,6,4.34,1.99,0,0.68,0,2,0.34,0.34,10,Math and Science College Preparatory District,601798.0,Los Angeles County,6037.0,1.0,CALIFORNIA,528,30,17.6
1192,matrix for success academy district,CALIFORNIA,11.5,2,1,0,0,0,0,1,1,0,0.5,Matrix for Success Academy District,602396.0,Los Angeles County,6037.0,1.0,CALIFORNIA,162,5,32.4
1193,mattole unified,California,15.66,2,0,0,0,1.66,0,0,1,0,3,Mattole Unified,600038.0,Humboldt County,6023.0,3.0,CALIFORNIA,45,7,6.43
1194,maxwell unified,California,36.39,0.97,0,0,0,0.5,0,1.5,0,0,8.43,Maxwell Unified,624150.0,Colusa County,6011.0,3.0,CALIFORNIA,325,19.86,16.36
1195,maya lin district,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,Maya Lin District,602514.0,Alameda County,6001.0,0.0,CALIFORNIA,†,†,†
1196,mccabe union elementary,California,114.94,17,0,0,0,2,0,3,1,1,27.94,McCabe Union Elementary,624180.0,Imperial County,6025.0,1.0,CALIFORNIA,1312,55,23.85
1197,mccloud union elementary,California,11.67,3.42,0,0,0,0.23,0,0.35,0,0,2.96,McCloud Union Elementary,624210.0,Siskiyou County,6093.0,1.0,CALIFORNIA,59,3.83,15.4
1198,mcfarland unified,California,313.48,25,8,1,0,4,0,12.9,5,2,87.56,McFarland Unified,624230.0,Kern County,6029.0,7.0,CALIFORNIA,3445,141.02,24.43
1199,mcgill school of success district,CALIFORNIA,18.61,5.11,0.5,0,0,0,0,1,0,0,3.75,McGill School of Success District,602275.0,San Diego County,6073.0,1.0,CALIFORNIA,142,6,23.67
1200,mckinleyville union elementary,California,122.79,28.65,1,0.4,0,2,0.5,3,2.2,1,30.82,McKinleyville Union Elementary,624300.0,Humboldt County,6023.0,3.0,CALIFORNIA,971,44.47,21.83
1201,mckittrick elementary,California,12.15,3,0,0,0,0.95,0,0.7,0,0,1.5,McKittrick Elementary,624330.0,Kern County,6029.0,1.0,CALIFORNIA,67,5,13.4
1202,mcswain union elementary,California,77.6,11.4,1,0,1,1,0,2,1,1,16,McSwain Union Elementary,624360.0,Merced County,6047.0,1.0,CALIFORNIA,839,39,21.51
1203,meadows arts and technology elementary district,CALIFORNIA,32.85,2.24,0.3,0,0,0,0,2,0.7,0.3,5.85,Meadows Arts and Technology Elementary District,601478.0,Ventura County,6111.0,1.0,CALIFORNIA,409,19.46,21.02
1204,meadows union elementary,California,45.75,7.5,1,0,0,1,0,1,0,0,11.25,Meadows Union Elementary,624390.0,Imperial County,6025.0,1.0,CALIFORNIA,417,19,21.95
1205,mendocino county office of education,California,148.22,26.32,1,1,0,7,1,1,7.4,4,52.97,Mendocino County Office of Education,691019.0,Mendocino County,6045.0,3.0,CALIFORNIA,102,14.05,7.26
1206,mendocino county roc/rop,California,–,–,–,–,–,–,–,–,–,–,–,Mendocino County ROC/ROP,600118.0,Mendocino County,6045.0,1.0,CALIFORNIA,0,–,–
1207,mendocino unified,California,67.72,6.68,1.98,0,0,0.1,0,2,1,1,11.5,Mendocino Unified,624480.0,Mendocino County,6045.0,6.0,CALIFORNIA,477,38.52,12.38
1208,mendota unified,California,335.54,44.67,4,5,0,3,1,11,0,1,81.5,Mendota Unified,600022.0,Fresno County,6019.0,7.0,CALIFORNIA,3668,160.87,22.8
1209,menifee union elementary,California,1015.14,173.55,18,0,0,8,1,20,21.35,9,222.57,Menifee Union Elementary,624540.0,Riverside County,6065.0,15.0,CALIFORNIA,10456,446.29,23.43
1210,menlo park city elementary,California,342.54,66.68,5,4.2,2.6,1,0.5,8.5,6,3.8,52.98,Menlo Park City Elementary,624570.0,San Mateo County,6081.0,4.0,CALIFORNIA,2781,176.44,15.76
1211,merced city elementary,California,941.18,145.65,7,4,6.59,3,1,36,16,9.5,215.42,Merced City Elementary,624600.0,Merced County,6047.0,19.0,CALIFORNIA,10800,423.47,25.5
1212,merced county office of education,California,856.09,372.3,3,8,0,26,1,6.6,10.1,10.6,219.3,Merced County Office of Education,691020.0,Merced County,6047.0,8.0,CALIFORNIA,1472,107,13.76
1213,merced county rop,California,–,–,–,–,–,–,–,–,–,–,–,Merced County ROP,600119.0,Merced County,6047.0,1.0,CALIFORNIA,0,–,–
1214,merced river union elementary,California,16.4,4.39,0,0,0,0,0,0,0,0,4.86,Merced River Union Elementary,624630.0,Merced County,6047.0,1.0,CALIFORNIA,218,5.36,40.67
1215,merced union high,California,1081.84,58.5,34.4,13.1,6.4,4,0,34.4,8,8,237.18,Merced Union High,624660.0,Merced County,6047.0,9.0,CALIFORNIA,10977,521.36,21.05
1216,meridian elementary,California,6.76,0.88,0,0,0,0,0,0,0,0,1.88,Meridian Elementary,624690.0,Sutter County,6101.0,1.0,CALIFORNIA,63,3,21
1217,mesa union elementary,California,54.34,5.16,0,0,0,1,0,1,1,0,16.94,Mesa Union Elementary,624720.0,Ventura County,6111.0,1.0,CALIFORNIA,584,27.24,21.44
1218,method schools la district,CALIFORNIA,26.17,0,0,0,0,0.5,0,0.5,0,0,8.25,Method Schools LA District,602150.0,Riverside County,6065.0,1.0,CALIFORNIA,485,13.67,35.48
1219,methodschools district,CALIFORNIA,27.96,0,0,0,0,0.5,0,0.5,0,0,10.25,MethodSchools District,601682.0,San Diego County,6073.0,1.0,CALIFORNIA,458,13.46,34.03
1220,metro education,California,–,–,–,–,–,–,–,–,–,–,–,Metro Education,600135.0,Santa Clara County,6085.0,1.0,CALIFORNIA,0,–,–
1221,metropolitan education,California,–,–,†,–,–,–,–,–,–,–,–,Metropolitan Education,601398.0,Santa Clara County,6085.0,0.0,CALIFORNIA,†,†,†
1222,mid-placer transportation jpa,California,–,–,†,–,–,–,–,–,–,–,–,Mid-Placer Transportation JPA,601401.0,Placer County,6061.0,0.0,CALIFORNIA,†,†,†
1223,middletown unified,California,113.66,28.75,0,0,0,0,0,5.9,1,0,5.41,Middletown Unified,624750.0,Lake County,6033.0,6.0,CALIFORNIA,1391,67.6,20.58
1224,midway elementary,California,11.25,1.45,0,0,0,0,0,1,0,0,1.65,Midway Elementary,624780.0,Kern County,6029.0,1.0,CALIFORNIA,72,6,12
1225,mill valley elementary,California,251.19,41.66,6.98,0,0.6,1,0,5.99,2.4,3.6,36.28,Mill Valley Elementary,624870.0,Marin County,6041.0,6.0,CALIFORNIA,2640,137.54,19.19
1226,millbrae elementary,California,170.07,12.25,2.8,0.8,0,3,0,7,1,0.6,21.45,Millbrae Elementary,624900.0,San Mateo County,6081.0,5.0,CALIFORNIA,2238,96,23.31
1227,millennium charter district,CALIFORNIA,43.75,1,0.95,0,0,1.75,0,0,0,0,5,Millennium Charter District,601698.0,San Joaquin County,6077.0,1.0,CALIFORNIA,538,34.05,15.8
1228,miller creek elementary,California,237.55,76.75,2,0.5,0,1,0,5,3,1.8,42.5,Miller Creek Elementary,611220.0,Marin County,6041.0,4.0,CALIFORNIA,1860,91,20.44
1229,millville elementary,California,31.34,8.74,1,0.06,0,0,0,1,0,0,4.88,Millville Elementary,624930.0,Shasta County,6089.0,1.0,CALIFORNIA,243,12.66,19.19
1230,milpitas unified,California,863.87,87.8,10,9.2,2,6,1,30,17.95,9,172.03,Milpitas Unified,624500.0,Santa Clara County,6085.0,14.0,CALIFORNIA,10413,440.49,23.64
1231,mirus secondary district,CALIFORNIA,16.3,3,1,1.2,0,0.3,0,0,0,0.25,1.15,Mirus Secondary District,601847.0,San Bernardino County,6071.0,1.0,CALIFORNIA,321,8,40.13
1232,mission academy district,CALIFORNIA,38.75,4.5,0.9,1.5,0,2.6,0,2.3,0,1,4.59,Mission Academy District,601746.0,Los Angeles County,6037.0,1.0,CALIFORNIA,492,16.36,30.07
1233,mission preparatory district,CALIFORNIA,41,7,0,0,0,1,0,1,0,0,12,Mission Preparatory District,602236.0,San Francisco County,6075.0,1.0,CALIFORNIA,439,17,25.82
1234,mission trails rop,California,–,–,–,–,–,–,–,–,–,–,–,Mission Trails ROP,600120.0,Monterey County,6053.0,1.0,CALIFORNIA,0,–,–
1235,mission trails rop jpa,California,–,–,†,–,–,–,–,–,–,–,–,Mission Trails ROP JPA,601385.0,Monterey County,6053.0,0.0,CALIFORNIA,†,†,†
1236,mission union elementary,California,13,1,0,0,0,1,0,1,0,0,1,Mission Union Elementary,625110.0,Monterey County,6053.0,1.0,CALIFORNIA,123,7,17.57
1237,mission valley roc/p,California,–,–,–,–,–,–,–,–,–,–,–,Mission Valley ROC/P,600086.0,Alameda County,6001.0,1.0,CALIFORNIA,0,–,–
1238,mission valley roc/p,California,–,–,†,–,–,–,–,–,–,–,–,Mission Valley ROC/P,601397.0,Alameda County,6001.0,0.0,CALIFORNIA,†,†,†
1239,mission view public district,CALIFORNIA,32.2,2,3,0,0,2,0,1.9,0,2.5,4.9,Mission View Public District,601562.0,Los Angeles County,6037.0,1.0,CALIFORNIA,312,9.9,31.52
1240,mission vista academy district,CALIFORNIA,198.45,2,0.5,0.5,0,5.74,0,4,2.67,3,9.06,Mission Vista Academy District,602513.0,Riverside County,6065.0,1.0,CALIFORNIA,3875,136.29,28.43
1241,mit academy district,CALIFORNIA,26.23,1.98,0,0,0,1.92,0,0,0,0,1.96,MIT Academy District,602483.0,Solano County,6095.0,1.0,CALIFORNIA,513,18.69,27.45
1242,mit griffin academy middle district,CALIFORNIA,17.09,1.47,0,0,0,1.54,0,0,0,0,1.08,MIT Griffin Academy Middle District,601875.0,Solano County,6095.0,1.0,CALIFORNIA,302,11,27.45
1243,modesto city elementary,California,1579.92,198.18,5,38.85,0,3.3,4.1,45,34.75,12.6,461.51,Modesto City Elementary,625130.0,Stanislaus County,6099.0,26.0,CALIFORNIA,14205,626.49,22.67
1244,modesto city high,California,1382.81,115.9,35.6,24.65,3.5,2.7,0.9,22,12.8,7.4,348.23,Modesto City High,625150.0,Stanislaus County,6099.0,8.0,CALIFORNIA,15386,640.96,24
1245,modesto city schools,California,–,–,†,–,–,–,–,–,–,–,–,Modesto City Schools,601330.0,Stanislaus County,6099.0,0.0,CALIFORNIA,†,†,†
1246,modoc county office of education,California,39.72,16.72,1,4,0,4.25,2,0,2,1.75,1,Modoc County Office of Education,691093.0,Modoc County,6049.0,1.0,CALIFORNIA,24,7,3.43
1247,modoc county rop,California,–,–,–,–,–,–,–,–,–,–,–,Modoc County ROP,600081.0,Modoc County,6049.0,1.0,CALIFORNIA,0,–,–
1248,modoc joint unified,California,90.41,9.44,0.59,0,0,0.86,0,3.8,0,0,20.39,Modoc Joint Unified,625190.0,Modoc County,6049.0,6.0,CALIFORNIA,814,46.33,17.57
1249,mojave river academy - gold canyon district,CALIFORNIA,11.83,1.05,0.83,0,0,1.41,0,0,0,0,0.58,Mojave River Academy - Gold Canyon District,601601.0,San Bernardino County,6071.0,1.0,CALIFORNIA,223,7.37,30.26
1250,mojave river academy - marble city district,CALIFORNIA,11.73,1.05,0.83,0,0,1.41,0,0,0,0,0.54,Mojave River Academy - Marble City District,601751.0,San Bernardino County,6071.0,1.0,CALIFORNIA,202,7.37,27.41
1251,mojave river academy - national trails district,CALIFORNIA,29.26,1.89,2,0,0,1.88,0,0,0,0,1.14,Mojave River Academy - National Trails District,601935.0,San Bernardino County,6071.0,1.0,CALIFORNIA,575,19.4,29.64
1252,mojave river academy - oro grande district,CALIFORNIA,48.09,3.78,2,0,0,2.9,0,0,0,0,2.26,Mojave River Academy - Oro Grande District,602209.0,San Bernardino County,6071.0,1.0,CALIFORNIA,869,33.4,26.02
1253,mojave river academy - rockview park district,CALIFORNIA,17.9,0.84,0.84,0,0,1.42,0,0,0,0,1,Mojave River Academy - Rockview Park District,602427.0,San Bernardino County,6071.0,1.0,CALIFORNIA,301,12.12,24.83
1254,mojave river academy - route 66 district,CALIFORNIA,22.89,2.52,1.5,0,0,1.9,0,0,0,0,0.92,Mojave River Academy - Route 66 District,601487.0,San Bernardino County,6071.0,1.0,CALIFORNIA,433,13.4,32.31
1255,mojave river academy - silver mountain district,CALIFORNIA,29.34,0.63,2,0,0,1.88,0,0,0,0,2.09,Mojave River Academy - Silver Mountain District,601577.0,San Bernardino County,6071.0,1.0,CALIFORNIA,569,19.89,28.61
1256,mojave unified,California,322.15,65.86,3.2,2,0,1,0,7.6,3,5,85.69,Mojave Unified,625230.0,Kern County,6029.0,6.0,CALIFORNIA,2869,125.05,22.94
1257,monarch learning center district,CALIFORNIA,13.8,6,0,0,0,0.8,0,0,0,0,0,Monarch Learning Center District,601997.0,Shasta County,6089.0,1.0,CALIFORNIA,86,5,17.2
1258,monarch river academy district,CALIFORNIA,54.01,1,0.35,0,0,2.8,0,0.5,1.9,1,2.26,Monarch River Academy District,602508.0,Tulare County,6107.0,1.0,CALIFORNIA,929,30.17,30.79
1259,mono county office of education,California,35.67,0,0,0,0,3.9,0,3.33,1,0,12.82,Mono County Office of Education,691052.0,Mono County,6051.0,5.0,CALIFORNIA,203,13.62,14.9
1260,mono county roc/p,California,–,–,–,–,–,–,–,–,–,–,–,Mono County ROC/P,600155.0,Mono County,6051.0,1.0,CALIFORNIA,0,–,–
1261,monroe elementary,California,21.5,4.13,0,0.3,0,0.4,0,1,0,0,4.67,Monroe Elementary,625290.0,Fresno County,6019.0,1.0,CALIFORNIA,152,10,15.2
1262,monrovia unified,California,507.8,77.44,11.53,0.83,0,10,0,13.98,10.5,6,111.97,Monrovia Unified,625320.0,Los Angeles County,6037.0,11.0,CALIFORNIA,5247,236.54,22.18
1263,monsenor oscar romero charter middle district,CALIFORNIA,34.8,4.38,0,2,0,2.23,0,0,0,0,7.14,Monsenor Oscar Romero Charter Middle District,601526.0,Los Angeles County,6037.0,1.0,CALIFORNIA,318,15.05,21.13
1264,monson-sultana joint union elementary,California,44.39,8.69,0,0,0,1,0,1,0,0,9.82,Monson-Sultana Joint Union Elementary,625350.0,Tulare County,6107.0,1.0,CALIFORNIA,443,21,21.1
1265,montague charter academy district,CALIFORNIA,72,7,0,0,0,0,0,2,0,0,17,Montague Charter Academy District,602264.0,Los Angeles County,6037.0,1.0,CALIFORNIA,824,35,23.54
1266,montague elementary,California,24.5,10,0,0,0,0.5,0,0.5,0,0,3.5,Montague Elementary,625380.0,Siskiyou County,6093.0,1.0,CALIFORNIA,182,10,18.2
1267,monte rio union elementary,California,11.84,1,0.4,0,0,0,0,1,0,0,2.79,Monte Rio Union Elementary,625410.0,Sonoma County,6097.0,1.0,CALIFORNIA,62,5,12.4
1268,montebello unified,California,2982.38,436.99,34.8,29,0,11,0,46.95,60,37.2,989.93,Montebello Unified,625470.0,Los Angeles County,6037.0,29.0,CALIFORNIA,23092,982.46,23.5
1269,montecito union elementary,California,72.18,14,0,0,0,1,0,2,0,0,15.25,Montecito Union Elementary,625500.0,Santa Barbara County,6083.0,1.0,CALIFORNIA,374,32.93,11.36
1270,monterey bay charter district,CALIFORNIA,41.25,4,0,1.25,0,1,0,1,0,0,9,Monterey Bay Charter District,601570.0,Monterey County,6053.0,1.0,CALIFORNIA,490,19,25.79
1271,monterey county office of education,California,255.01,100.12,0,4,0,15,0,8,26.75,4,13,Monterey County Office of Education,691021.0,Monterey County,6053.0,4.0,CALIFORNIA,717,64.26,11.16
1272,monterey peninsula unified,California,1119.59,139.99,15,12,0,15,0,25.97,22,12.5,305.04,Monterey Peninsula Unified,625530.0,Monterey County,6053.0,23.0,CALIFORNIA,9403,493.71,19.05
1273,montgomery elementary,California,4.75,0,0,0,0,0.15,0,0.15,0,0,0.45,Montgomery Elementary,625650.0,Sonoma County,6097.0,1.0,CALIFORNIA,22,3,7.33
1274,moorpark unified,California,548.83,60.33,10,0,0,8.5,0,16,12.6,6.9,120.37,Moorpark Unified,625690.0,Ventura County,6111.0,10.0,CALIFORNIA,5845,264.5,22.1
1275,moraga elementary,California,176.36,37.72,0.99,0.99,0,1,0,5,1,2,32.42,Moraga Elementary,625740.0,Contra Costa County,6013.0,4.0,CALIFORNIA,1769,81.67,21.66
1276,moreland,California,407.07,62.55,3.4,2.8,0,3,0,15.2,6.8,6.5,75.69,Moreland,625770.0,Santa Clara County,6085.0,7.0,CALIFORNIA,4364,194.96,22.38
1277,moreno valley unified,California,3210.95,463.4,72.8,49,0,12,1,101,23.6,29,726.8,Moreno Valley Unified,625800.0,Riverside County,6065.0,40.0,CALIFORNIA,31597,1449.51,21.8
1278,morgan hill unified,California,700.56,55.29,9,10.4,2,3.8,0,19.65,9.6,10,166.36,Morgan Hill Unified,625830.0,Santa Clara County,6085.0,13.0,CALIFORNIA,8245,336.92,24.47
1279,morongo unified,California,790.05,108.54,10.1,1,0,6,0,39.99,12,10.6,161.77,Morongo Unified,625860.0,San Bernardino County,6071.0,17.0,CALIFORNIA,8005,365.51,21.9
1280,morrice schaefer charter district,CALIFORNIA,26.5,7,0,0,0,0,0,1,0,0,3.5,Morrice Schaefer Charter District,601685.0,Sonoma County,6097.0,1.0,CALIFORNIA,355,14,25.36
1281,mother lode union elementary,California,97.98,11.6,1,0,0,1,0,3,1,1,27.05,Mother Lode Union Elementary,625980.0,El Dorado County,6017.0,2.0,CALIFORNIA,934,40.33,23.16
1282,mount pleasant elementary,California,175.44,15.76,0,0,0,3,1,6,3,2,42.45,Mount Pleasant Elementary,626400.0,Santa Clara County,6085.0,5.0,CALIFORNIA,1929,85.47,22.57
1283,mountain elementary,California,13.4,2.67,0,0,0,1,0,0,0,0.1,0.63,Mountain Elementary,626070.0,Santa Cruz County,6087.0,1.0,CALIFORNIA,133,7,19
1284,mountain empire unified,California,220.97,35.15,4.9,1.95,0,2,0,9,5,2,53.31,Mountain Empire Unified,626100.0,San Diego County,6073.0,11.0,CALIFORNIA,1674,87.42,19.15
1285,mountain home charter (alternative) district,CALIFORNIA,18.91,0,1,0.3,0,3,0,1,0,0,3.25,Mountain Home Charter (Alternative) District,602365.0,Madera County,6039.0,1.0,CALIFORNIA,229,8.84,25.9
1286,mountain house elementary,California,4.7,0,0,0,0,0,0,0,0,0,2.69,Mountain House Elementary,626130.0,Alameda County,6001.0,1.0,CALIFORNIA,16,1.01,15.84
1287,mountain union elementary,California,13.99,2.31,0,0,0,0,0,1,0,0,3.68,Mountain Union Elementary,627040.0,Shasta County,6089.0,1.0,CALIFORNIA,64,5,12.8
1288,mountain valley special education jpa,CALIFORNIA,–,–,†,–,–,–,–,–,–,–,–,Mountain Valley Special Education JPA,602527.0,Shasta County,6089.0,0.0,CALIFORNIA,†,†,†
1289,mountain valley unified,California,48.3,6.69,0.15,0,0,0.32,0,0.52,0,0,16.17,Mountain Valley Unified,600018.0,Trinity County,6105.0,3.0,CALIFORNIA,308,19.13,16.1
1290,mountain view elementary,California,643.84,70.7,11,0,0,11.5,0,14,13,7,147.96,Mountain View Elementary,626190.0,Los Angeles County,6037.0,12.0,CALIFORNIA,5788,256.97,22.52
1291,mountain view elementary,California,226.22,29,2,0,0,5,0,5,4.6,3,47.25,Mountain View Elementary,626220.0,San Bernardino County,6071.0,4.0,CALIFORNIA,2625,111.37,23.57
1292,mountain view whisman,California,516.15,76.13,2,11.5,0,9,0,13,9.6,6,105.03,Mountain View Whisman,626280.0,Santa Clara County,6085.0,12.0,CALIFORNIA,4753,240.14,19.79
1293,mountain view-los altos union high,California,450.16,54,13.8,2,2,4.85,0,15.76,1,3,67.17,Mountain View-Los Altos Union High,626310.0,Santa Clara County,6085.0,3.0,CALIFORNIA,4563,236.58,19.29
1294,mt. baldy joint elementary,California,11.09,1.39,0,0,0,0,0,1,0,0,1.7,Mt. Baldy Joint Elementary,626340.0,Los Angeles County,6037.0,1.0,CALIFORNIA,87,5,17.4
1295,mt. diablo unified,California,2622.69,363.59,48,16.73,14.62,13,0,71.69,43.8,49.8,480.26,Mt. Diablo Unified,626370.0,Contra Costa County,6013.0,53.0,CALIFORNIA,29908,1305.1,22.92
1296,mt. shasta union elementary,California,54.6,9.38,0.4,0,0,0,0,2,0,0,15.72,Mt. Shasta Union Elementary,626040.0,Siskiyou County,6093.0,2.0,CALIFORNIA,480,23.35,20.56
1297,mueller charter (robert l.) district,CALIFORNIA,103.72,4.5,6.43,1.5,0,1,0,3.4,0,1.3,9.86,Mueller Charter (Robert L.) District,601578.0,San Diego County,6073.0,1.0,CALIFORNIA,1694,66.23,25.58
1298,mulberry elementary,California,10,1,0,0,0,1,0,1,0,0,2,Mulberry Elementary,626430.0,Imperial County,6025.0,1.0,CALIFORNIA,78,4,19.5
1299,multicultural learning center district,CALIFORNIA,42.17,12.57,0,1,0,0,0,1,0,0,2.63,Multicultural Learning Center District,601538.0,Los Angeles County,6037.0,1.0,CALIFORNIA,480,20,24
1300,mupu elementary,California,12.95,0,0,0,0,1,0,0,0,0,3.15,Mupu Elementary,626460.0,Ventura County,6111.0,1.0,CALIFORNIA,159,7.8,20.38
1301,muroc joint unified,California,196.63,26.11,4,0,0,2,2,4,3,3,42.62,Muroc Joint Unified,626490.0,Kern County,6029.0,4.0,CALIFORNIA,1687,88.9,18.98
1302,murrieta valley unified,California,1959.62,286.47,41.5,10,1,14.9,0,51,49,20.2,427.17,Murrieta Valley Unified,600029.0,Riverside County,6065.0,20.0,CALIFORNIA,22950,909.49,25.23
1303,museum district,CALIFORNIA,24.4,9,1,1,0,0,0,1,0,0.4,0,Museum District,602106.0,San Diego County,6073.0,1.0,CALIFORNIA,222,11,20.18
1304,n. co regional occupational program jpa,California,–,–,†,–,–,–,–,–,–,–,–,N. Co Regional Occupational Program JPA,601366.0,Santa Clara County,6085.0,0.0,CALIFORNIA,†,†,†
1305,n.e.w. academy canoga park district,CALIFORNIA,40.65,6.76,0,0,0,0,0,2,0,0,8.89,N.E.W. Academy Canoga Park District,602145.0,Los Angeles County,6037.0,1.0,CALIFORNIA,417,20,20.85
1306,n.e.w. academy of science and arts district,CALIFORNIA,39,11,0,0,0,0,0,2,0,0,3,N.E.W. Academy of Science and Arts District,601923.0,Los Angeles County,6037.0,1.0,CALIFORNIA,422,18,23.44
1307,napa county office of education,California,86.1,8,0,4,0,6,0,3.2,2,0,11,Napa County Office of Education,691022.0,Napa County,6055.0,3.0,CALIFORNIA,104,5.9,17.63
1308,napa county rop,California,–,–,–,–,–,–,–,–,–,–,–,Napa County ROP,600080.0,Napa County,6055.0,1.0,CALIFORNIA,0,–,–
1309,napa valley unified,California,1496.48,205.85,26,3,0,15.2,0,44.4,45.4,15.1,285.07,Napa Valley Unified,626640.0,Napa County,6055.0,27.0,CALIFORNIA,16971,712.56,23.82
1310,national elementary,California,481.15,40.04,9,0,0,4,2,10.66,10.2,10,147.89,National Elementary,626670.0,San Diego County,6073.0,11.0,CALIFORNIA,4768,213.5,22.33
